txId,sourceId,destId,amount,type,step
TX_9e0795bae8,C_d70809a8,C_ab0b1d88,416.75,CASH_OUT,88
TX_01f9cbe56f,C_e8d36805,C_988253c7,4569.98,TRANSFER,25
TX_d02823a231,C_39a94332,C_3464e49a,1482.03,TRANSFER,95
TX_5d338a72cd,C_bcec6dc3,C_67705d65,4520.04,CASH_IN,68
TX_ee8883a975,C_0bd74d1e,C_d3fbc5a6,3528.63,TRANSFER,77
TX_930cf0f55f,C_00e8cb40,C_7e759b05,4471.52,TRANSFER,59
TX_ea1b77e91e,C_677cb521,C_1e34a9f0,82.46,CASH_OUT,9
TX_8deafa81af,C_d373883a,C_67350215,2212.7,CASH_IN,96
TX_f96f3421c6,C_53cd997e,C_28c02b5f,322.55,TRANSFER,21
TX_9096fbdb1d,C_7720d8f0,C_cbd73633,3102.23,CASH_IN,14
TX_a58d05cd07,C_0d7f3f01,C_a671cb61,3766.93,TRANSFER,54
TX_64511ec7de,C_87aa6172,C_5491da0e,4974.2,CASH_OUT,2
TX_051389af4b,C_47997d0f,C_c1555cb0,4455.17,PAYMENT,75
TX_a47785e381,C_f4c41384,C_6a3b4892,4247.13,CASH_OUT,53
TX_85a24d044b,C_90b658a2,C_3e294f3b,4896.05,CASH_IN,71
TX_2642776d7b,C_6659e079,C_5f7128a1,2001.21,TRANSFER,92
TX_1bf9ffc9bc,C_2b9add83,C_ee8fae14,1595.43,PAYMENT,65
TX_54211655e3,C_82ac2902,C_8c62b34f,2322.26,CASH_OUT,73
TX_038cbf47aa,C_80be679f,C_3d73be75,4820.15,CASH_OUT,72
TX_d02b457b74,C_14120b00,C_acd2729c,3540.41,TRANSFER,46
TX_cd9ba91e2c,C_b09054bd,C_91f4d7ad,4137.14,TRANSFER,55
TX_973b247def,C_984f8d52,C_3d2ebd12,2714.41,CASH_OUT,76
TX_e3069a1d88,C_3c0cb2f5,C_c1808a21,1016.48,CASH_OUT,46
TX_1a6b22c7dc,C_fd88934d,C_416ef6c9,477.32,PAYMENT,15
TX_7dbc662cdd,C_86959300,C_d975593f,58.45,CASH_OUT,80
TX_978c2559c9,C_58436754,C_9a2fb700,1027.68,PAYMENT,70
TX_2322aad5c6,C_f075d94d,C_f95ee65a,4710.15,PAYMENT,20
TX_1a2d07d32a,C_0554b84c,C_5942b77d,3527.95,PAYMENT,100
TX_fea683036d,C_18c637fa,C_ccca37bd,90.02,PAYMENT,18
TX_6804335958,C_6ac340df,C_50cb8950,2348.28,PAYMENT,77
TX_26dc15fa92,C_ba4b548d,C_79ae1503,4184.85,PAYMENT,38
TX_6039fcb316,C_17580584,C_c1555cb0,1987.35,PAYMENT,43
TX_2815db3d64,C_cefc5fcf,C_8525d429,2043.3,CASH_IN,53
TX_ba63ad817d,C_61855773,C_a8e78bea,4876.71,TRANSFER,30
TX_0ff7d9b9f9,C_3333ffe3,C_0b527994,1243.68,CASH_IN,43
TX_5a572ff000,C_8bb819a2,C_b75bb400,4792.52,CASH_IN,90
TX_12d6fba534,C_8c2139ba,C_46c90e5f,556.42,CASH_OUT,20
TX_bf5a337680,C_41e085a5,C_f95ee65a,1445.69,CASH_IN,4
TX_09e0f189ef,C_74994f9a,C_54f28ce4,1557.68,CASH_OUT,33
TX_6583996e95,C_b3517984,C_af4aa0c0,2216.05,CASH_IN,30
TX_7496059ec1,C_70cac8fb,C_b3517984,568.78,CASH_IN,79
TX_255fa9213c,C_e5f60724,C_e162f5e5,3302.43,TRANSFER,82
TX_ba656adba3,C_154a988e,C_760daa7b,237.03,CASH_IN,74
TX_c61f658e94,C_2d5db98c,C_cf936a5f,1926.06,CASH_OUT,73
TX_551c9dc5da,C_89d156bb,C_1c0ce192,2486.94,TRANSFER,34
TX_d65167f9fa,C_bcec6dc3,C_f92f1bac,516.23,PAYMENT,94
TX_128edb2f48,C_f5cff6c9,C_f63e7a0f,2403.74,CASH_OUT,53
TX_f55a8b75b3,C_7b36268e,C_5df1c529,2013.05,CASH_IN,43
TX_4249697eef,C_f7b9ae44,C_dd697326,717.08,CASH_IN,69
TX_fc4c907c1d,C_ba1c41f1,C_522858e0,4568.73,CASH_IN,83
TX_399ca00486,C_2c2c5a0b,C_bd099b77,988.96,TRANSFER,88
TX_439f9c8262,C_ebb2cd71,C_bb63e344,4514.25,CASH_OUT,40
TX_b2ab2281fb,C_6c9af6ca,C_9a2fb700,1667.0,CASH_IN,84
TX_2377aaad15,C_4ebc6f87,C_bf07da27,2773.38,TRANSFER,57
TX_51bfd3d097,C_e4935c36,C_47997d0f,1658.61,CASH_IN,88
TX_3b7fd551cd,C_28c02b5f,C_527e51ce,1963.19,CASH_OUT,93
TX_a2bc83b46b,C_41e085a5,C_3f60dbf5,3320.73,CASH_IN,58
TX_7d2129314f,C_218160de,C_3d929ceb,4416.68,CASH_OUT,91
TX_bdecc4afbd,C_90334627,C_f42804e5,4334.3,CASH_IN,9
TX_87927921db,C_50cb8950,C_80be679f,4869.12,CASH_IN,89
TX_504550168c,C_d70809a8,C_a7cd1798,1754.52,CASH_IN,32
TX_200b33e6a9,C_173abe44,C_a5f1db08,1105.64,CASH_IN,19
TX_c6090ef831,C_2b6197b4,C_544b20b6,3647.68,TRANSFER,12
TX_c6f77d2080,C_8bb819a2,C_b51cb849,2667.03,CASH_IN,20
TX_5b74af1347,C_e0456c99,C_0065bd29,1252.99,CASH_OUT,35
TX_95b7b458b4,C_af4aa0c0,C_d6bed867,2983.36,CASH_OUT,31
TX_6327060092,C_3087820c,C_11551f0d,931.1,TRANSFER,21
TX_28df2a23c8,C_add72f5b,C_a89d1a7c,3659.2,PAYMENT,39
TX_86ccf00e13,C_cffd4cc8,C_e4935c36,3827.57,TRANSFER,39
TX_ac5ac570d1,C_d817ca2d,C_1e34a9f0,2223.01,TRANSFER,4
TX_a63d6c287e,C_09c68591,C_fd3f4296,3127.25,PAYMENT,20
TX_0c0276cac0,C_d54b4290,C_50e2f78d,4678.83,TRANSFER,12
TX_e6f5827424,C_5491da0e,C_d373883a,242.24,CASH_OUT,55
TX_5dce72ec09,C_0e7c7698,C_872fa201,3916.71,CASH_IN,49
TX_5b40db7995,C_c1555cb0,C_b8e80866,154.28,PAYMENT,53
TX_49f24706c4,C_d446781b,C_a695889a,776.33,PAYMENT,74
TX_64bddea3ed,C_712ff17b,C_e8460b96,677.12,PAYMENT,13
TX_00d201f8b0,C_e53aab4e,C_fa8676b8,2826.65,TRANSFER,87
TX_59b7663121,C_707c4b72,C_918e5524,783.39,TRANSFER,27
TX_8aabb76216,C_b6858e44,C_dfeb1285,4239.82,CASH_IN,88
TX_efaef9240b,C_053aba1b,C_ff019920,2464.19,CASH_OUT,12
TX_37f98ecfd8,C_4442d08c,C_cc2941ec,4881.48,CASH_IN,41
TX_6e974c9b74,C_e4cf696e,C_a2a0fc94,4886.0,CASH_OUT,75
TX_437bd5cc8b,C_fc837a8e,C_f61399d8,4211.42,CASH_OUT,78
TX_60068dece5,C_1f421665,C_0a211a06,4538.23,CASH_IN,23
TX_f0dc3a9c64,C_95ee24a1,C_3a8775d9,593.34,CASH_OUT,87
TX_0c51e6a928,C_752510d9,C_f3ed2193,1027.57,TRANSFER,18
TX_8dd2b6ddad,C_9c6dee3c,C_17eb1518,2482.22,TRANSFER,16
TX_221e18b668,C_4b29b490,C_acf98054,2809.97,TRANSFER,78
TX_f0d7eb11dd,C_3333ffe3,C_a2a0fc94,3932.98,PAYMENT,33
TX_d1b635f54b,C_013e1ae0,C_418834b8,649.26,CASH_IN,68
TX_1818cf59bb,C_21723cf5,C_1f421665,4556.63,PAYMENT,34
TX_cb08528253,C_8d3ba123,C_5ec7b46e,1763.53,PAYMENT,50
TX_45a19256fb,C_dbcf2f0b,C_7f0c7bbb,1842.0,CASH_OUT,28
TX_7f331d4ba2,C_d7bfdbde,C_9c9c86e3,1300.98,CASH_OUT,51
TX_d9e5227c2e,C_dc0bba23,C_0a211a06,1996.1,TRANSFER,9
TX_97753148e8,C_6e475670,C_cae3d16c,2730.02,CASH_IN,7
TX_9bc649720d,C_f14dc870,C_0c210359,2459.37,CASH_IN,40
TX_1c9604bdb2,C_e53aab4e,C_07a966dc,4574.2,PAYMENT,46
TX_4197d3b00e,C_d70809a8,C_32d975ce,3887.02,TRANSFER,33
TX_b16fc13e30,C_150c8e0f,C_3ff3fa2f,4050.78,PAYMENT,79
TX_6758e19593,C_d7f88438,C_bad47638,4988.09,CASH_IN,19
TX_a848dd641c,C_2b9add83,C_1a51069d,1361.89,PAYMENT,76
TX_92a144c48c,C_785f1265,C_da6288a3,485.59,TRANSFER,40
TX_19430ca7ec,C_2bd77cb1,C_00e8cb40,2988.08,CASH_OUT,63
TX_fd814ddbe1,C_35d57cdd,C_e5197c71,2554.54,CASH_OUT,51
TX_b6ebc18ff7,C_00dfa077,C_95e7a9bd,1550.92,PAYMENT,20
TX_065545bfe4,C_11af1526,C_8db04581,26.23,CASH_IN,95
TX_bbd68513d6,C_4c2b0095,C_7b27ed69,1359.48,CASH_OUT,67
TX_afb1ec6085,C_11976b56,C_7b36268e,2028.74,PAYMENT,61
TX_31899dd269,C_6480dd27,C_a70f57ec,1962.28,TRANSFER,92
TX_46fc727d31,C_e1e12f96,C_3bcf80b0,2456.15,TRANSFER,29
TX_f1a490ad20,C_d5bc1fc8,C_530fa369,2318.01,CASH_OUT,84
TX_de48fbf5f6,C_e2406edb,C_3790e9a9,2262.47,PAYMENT,82
TX_9aefb225e4,C_94f90166,C_d80bab42,774.36,CASH_IN,37
TX_ddef8d3355,C_5b389855,C_ed715242,1618.92,CASH_IN,92
TX_27610e1573,C_ab0b1d88,C_880e23ad,2768.03,CASH_IN,2
TX_38a83e2de7,C_8dd0d6fb,C_fc837a8e,3050.4,CASH_OUT,35
TX_81e6dc553c,C_e215b454,C_0e7c7698,4790.18,CASH_OUT,76
TX_3654d01d31,C_5435ff82,C_ce429ea4,1234.59,PAYMENT,48
TX_ca8573681a,C_6f01344c,C_c71cee4f,4289.41,TRANSFER,6
TX_0bb6b5c05a,C_212ee088,C_a9705aee,4309.97,CASH_IN,42
TX_66e163dc0f,C_9c9ce963,C_4e3a2e20,4016.71,TRANSFER,74
TX_03024ead02,C_c1808a21,C_49d883b0,4776.08,PAYMENT,27
TX_d86fbf9a8b,C_3c30fca1,C_ed715242,3428.74,TRANSFER,67
TX_7d46c0031e,C_88f080d5,C_461bae0d,4728.09,PAYMENT,27
TX_6931c456e6,C_b4a4b115,C_b49ce8fd,4812.3,TRANSFER,96
TX_538686f578,C_2b6197b4,C_3314b3ce,4055.41,PAYMENT,78
TX_0f9cfe8495,C_544b20b6,C_c2f41799,2309.44,CASH_IN,78
TX_3711ba6fea,C_4442d08c,C_f1862f6b,522.67,CASH_IN,30
TX_1417229c7b,C_2505bf28,C_9fb1f82e,1998.65,PAYMENT,86
TX_021fc4f047,C_a5f1db08,C_b6858e44,3698.4,CASH_OUT,15
TX_15186492f8,C_a4b72203,C_93193d21,552.79,CASH_OUT,88
TX_4664183285,C_832d8af1,C_d3ba4ca7,3832.96,CASH_OUT,61
TX_e41e9df8d2,C_6b46727f,C_56eb1d3f,59.17,PAYMENT,35
TX_e68453e56b,C_6ec17795,C_46ba4f24,157.87,PAYMENT,89
TX_6a8dc5925d,C_00e8cb40,C_b7f832f2,1468.46,CASH_IN,59
TX_d4fee13bb5,C_3c30fca1,C_a44183e3,1683.62,CASH_OUT,4
TX_820c40292b,C_1748e4ee,C_79b01d87,3293.07,PAYMENT,99
TX_db1c25641f,C_60f2f498,C_ca32e309,2014.58,TRANSFER,72
TX_ab6e08d632,C_78038972,C_9913ee88,3337.11,CASH_OUT,17
TX_5c840129bf,C_8a4eed8e,C_8b429a7a,4067.94,PAYMENT,55
TX_b5fb2f0482,C_c17c0531,C_cffd4cc8,2966.93,TRANSFER,25
TX_7eced76fcb,C_ec1edc91,C_57f7a735,4375.55,TRANSFER,85
TX_dc28302143,C_407b491b,C_87fa8a08,3312.98,PAYMENT,38
TX_551ee037bc,C_249018db,C_dd697326,30.17,PAYMENT,48
TX_7d3837bb15,C_efa4cede,C_603a79c2,4719.49,TRANSFER,9
TX_fe2f338795,C_8688c2c8,C_bc16586e,1047.89,CASH_IN,88
TX_94af03bcd0,C_1826fd2b,C_50e2f78d,2912.25,TRANSFER,57
TX_7bfbde22e5,C_4b29b490,C_e1537cc1,3487.0,CASH_IN,81
TX_4fca69eb6a,C_2505bf28,C_d9ccf542,4065.45,PAYMENT,58
TX_d4df936c4d,C_62c082ff,C_e5197c71,620.86,PAYMENT,6
TX_db2ebe82f8,C_3703dc9c,C_fca195fe,1567.38,PAYMENT,58
TX_0bfd1efb7a,C_96d2e291,C_a563b264,3050.94,CASH_IN,88
TX_cc452b0a08,C_cffd4cc8,C_51b676f6,4938.88,TRANSFER,85
TX_01700ca4b4,C_61de1adf,C_af4032dc,2778.76,CASH_IN,76
TX_0177b530a0,C_832d8af1,C_b851eee9,423.77,TRANSFER,13
TX_b89cd44747,C_407b491b,C_a8e78bea,998.17,TRANSFER,55
TX_62ec860789,C_aa7307a9,C_cefc5fcf,247.79,PAYMENT,36
TX_3c8261fa74,C_2f00921a,C_cd13f9e9,3892.47,PAYMENT,35
TX_0668155a67,C_2115df51,C_c443e123,1034.8,CASH_IN,69
TX_565d6b2f92,C_cbd73633,C_8d3ba123,1496.42,PAYMENT,23
TX_1b3f50bb40,C_2f00921a,C_8c3d547a,641.83,CASH_IN,100
TX_341cf62db5,C_828f2869,C_d04b3d4d,3599.37,CASH_OUT,66
TX_b2d2523085,C_cf449327,C_a563b264,3559.97,CASH_IN,73
TX_ab6d15622e,C_98dd52cb,C_016ab74f,2883.59,PAYMENT,73
TX_701d7122ce,C_4495c2d5,C_c612d234,1876.27,PAYMENT,91
TX_8346926939,C_b51cb849,C_8b343ffb,4880.98,TRANSFER,80
TX_a3dc24e2a1,C_dab1f18b,C_3333ffe3,3232.45,TRANSFER,77
TX_76570881b8,C_742974cb,C_c9d21a55,3561.83,PAYMENT,2
TX_5d2867b3f9,C_0e7c7698,C_f7b9ae44,2254.19,TRANSFER,65
TX_a5799a5f5a,C_bf4a8598,C_416ef6c9,1756.1,CASH_OUT,97
TX_4135084115,C_522858e0,C_c46e3956,3456.12,TRANSFER,82
TX_b57ce6bb68,C_9fc6019c,C_d3ba4ca7,146.79,PAYMENT,55
TX_f104b167b3,C_1e34a9f0,C_8d3ba123,1435.83,TRANSFER,96
TX_f4dca22f64,C_e5197c71,C_1bea8d80,19.27,PAYMENT,36
TX_3d1b79fb2c,C_574af379,C_c0e19aa6,2142.24,PAYMENT,4
TX_f001b4dbf0,C_7010274c,C_03ed84d2,2410.58,CASH_OUT,84
TX_14690657bc,C_1f5ded0f,C_00fdf431,2908.98,PAYMENT,56
TX_90765a16f1,C_d7bfdbde,C_f13ac989,702.12,CASH_IN,19
TX_ff1c4d4285,C_f95ee65a,C_722d588b,730.03,CASH_OUT,43
TX_0783f72d35,C_407b491b,C_ab3cf9da,552.0,PAYMENT,35
TX_32b59f8a53,C_c9d21a55,C_3d929ceb,4833.5,PAYMENT,35
TX_6b0ce09b4b,C_8c2139ba,C_cc701b06,1798.85,CASH_IN,15
TX_dca6995611,C_41f0cf35,C_e497ce8c,4747.68,CASH_IN,1
TX_900143fb46,C_74994f9a,C_443668ad,2587.69,PAYMENT,16
TX_4ec37776db,C_2c8ffd23,C_e215b454,2348.7,TRANSFER,12
TX_be381412df,C_27553fb6,C_6c61c6a4,287.26,CASH_IN,45
TX_1b262925b0,C_b2ae1cc1,C_14d3a318,3997.56,TRANSFER,21
TX_ac05a0ba7c,C_27e53f53,C_ba4b548d,4439.6,CASH_IN,32
TX_dcc832a642,C_f4c41384,C_23003bd3,1091.91,TRANSFER,57
TX_750abc48f8,C_d40718c2,C_9114b27d,2313.25,CASH_IN,38
TX_526417f7ef,C_d5bc1fc8,C_9259c626,2295.36,CASH_OUT,88
TX_39ca5d7b95,C_f7c7bad7,C_ab5a06ba,1113.02,PAYMENT,78
TX_458a38444a,C_961bffe8,C_8c3d547a,2796.55,PAYMENT,23
TX_27dbbb1342,C_87aa6172,C_a695889a,584.45,CASH_IN,50
TX_9893dd0a47,C_e4cf696e,C_82b4fd2b,861.23,CASH_IN,78
TX_2e84ad4ad4,C_8c2139ba,C_4a2a50bf,4412.87,TRANSFER,5
TX_88c3d3048b,C_00b3b306,C_b14beee6,3592.33,CASH_OUT,64
TX_fdab412e4a,C_5ffd9944,C_8c1bb4a5,4650.4,CASH_IN,78
TX_c0e641f88b,C_a4b72203,C_26d11a93,4190.09,TRANSFER,67
TX_66bfc6fd38,C_2505bf28,C_0f1f29dd,2653.75,TRANSFER,94
TX_768a97391e,C_25a2718e,C_df3d5a18,585.93,CASH_OUT,44
TX_c117d573c0,C_5d41731e,C_7cb46252,4707.36,CASH_OUT,96
TX_ce17290735,C_67b4280a,C_d04b3d4d,1162.58,TRANSFER,41
TX_edde876c31,C_9fc6019c,C_73b8be0a,4721.86,CASH_IN,4
TX_334b956d32,C_9c9c86e3,C_80cebb77,3185.54,CASH_OUT,86
TX_2960f0d069,C_4314b669,C_661edb3e,3964.6,PAYMENT,4
TX_d48a5d7319,C_3790e9a9,C_3d896059,234.97,CASH_IN,1
TX_61650b4903,C_52630667,C_09c68591,2268.94,CASH_OUT,90
TX_f0b3610a8e,C_5ffd9944,C_29576d90,2711.51,CASH_IN,76
TX_cf35182ceb,C_a9705aee,C_d373883a,1162.22,TRANSFER,40
TX_262c3f3e40,C_872fa201,C_28dc7d8d,4700.52,CASH_IN,10
TX_5f6d00ff15,C_953d6016,C_d5779a60,4879.25,CASH_OUT,99
TX_799341d247,C_49d883b0,C_b39a1100,2606.81,TRANSFER,44
TX_276e17623e,C_ead92fdb,C_49da327d,1900.83,TRANSFER,2
TX_2c68f52666,C_3e93434a,C_49d883b0,31.36,CASH_OUT,18
TX_2876574cb4,C_50870ae3,C_458ceca1,571.09,TRANSFER,27
TX_2b12b105b1,C_ffd8ee19,C_fa6da1b9,3032.07,PAYMENT,72
TX_277d1c241e,C_d446781b,C_9332de80,2293.62,PAYMENT,66
TX_33ab277f84,C_821f75f2,C_701f46d5,3876.84,PAYMENT,71
TX_6f97ae1caf,C_b20ab935,C_70b4f137,3415.78,TRANSFER,98
TX_ac38480f5b,C_d616eee8,C_358f8994,4828.4,CASH_IN,16
TX_eec8fc015c,C_4f5b7db7,C_95290da2,3596.7,TRANSFER,94
TX_76c0a37112,C_b603e38e,C_6e006c93,1812.44,CASH_OUT,87
TX_46ad2e9668,C_527e51ce,C_395bedfc,4178.0,CASH_IN,62
TX_5c6b609f0c,C_e03f37d1,C_129195ba,3413.1,PAYMENT,94
TX_2d86ae73bc,C_11af1526,C_d9ccf542,661.79,TRANSFER,36
TX_9e7368a071,C_d70809a8,C_0c368b77,1369.76,PAYMENT,92
TX_38c2f799f8,C_51b676f6,C_b8e80866,1867.44,CASH_OUT,86
TX_a40521abfd,C_355a2b4a,C_16a74b6d,3562.68,TRANSFER,45
TX_5ff57573cd,C_34d5dcbc,C_25f7c466,1519.19,CASH_OUT,79
TX_0ffee685d6,C_d5741eca,C_c17c0531,1319.2,CASH_IN,55
TX_acc1c5d955,C_bcec6dc3,C_67705d65,3684.45,PAYMENT,48
TX_af12a8989f,C_7cb46252,C_cfaf04be,2783.07,CASH_IN,39
TX_2edcb89a28,C_f86af422,C_fc837a8e,651.38,PAYMENT,60
TX_e9574000f2,C_80be679f,C_1144c9e8,4230.75,TRANSFER,67
TX_efd60fc970,C_aa147588,C_d827482f,4837.68,PAYMENT,97
TX_477e6fc333,C_6b8b995d,C_d827482f,1566.25,PAYMENT,14
TX_72574f7252,C_73b8be0a,C_4314b669,2351.7,CASH_IN,21
TX_2419fbc79c,C_fe4d6b01,C_3da7223c,1305.21,TRANSFER,23
TX_457d02724b,C_cae3d16c,C_3e93434a,1352.62,TRANSFER,49
TX_a6699635f7,C_5d23462e,C_dfcca004,4496.18,TRANSFER,69
TX_6d8044b018,C_c17c0531,C_e497ce8c,536.02,PAYMENT,49
TX_8eacc6bd67,C_633819b5,C_90334627,4978.55,PAYMENT,59
TX_d97a81e794,C_d9a191a1,C_d4a71bce,4995.33,TRANSFER,35
TX_21e80d525f,C_98094300,C_862cc763,3433.5,CASH_OUT,7
TX_a904d18f4d,C_a650e3c1,C_2944c37e,4122.85,TRANSFER,71
TX_3b453fe95b,C_57161b2f,C_b20ab935,3151.39,CASH_OUT,34
TX_c4aa90a45a,C_37c0bf7e,C_3c30fca1,1461.83,CASH_IN,98
TX_5a6bbf9438,C_cae3d16c,C_5ec7b46e,1774.68,PAYMENT,11
TX_879d582178,C_1f421665,C_5435ff82,2737.19,CASH_IN,43
TX_411ed6ac9a,C_28a55fac,C_92567a62,2604.95,PAYMENT,88
TX_fbe4b12f89,C_ba1c41f1,C_3997193a,4881.75,PAYMENT,9
TX_5f6794d7c3,C_df573a2e,C_fa8676b8,4408.05,CASH_IN,50
TX_59ad00faf6,C_94f90166,C_efa4cede,2910.0,CASH_OUT,70
TX_b422768bd2,C_f51b368e,C_b20ab935,41.86,CASH_IN,49
TX_7f1935247a,C_a7f1cebf,C_7f0a892f,3344.4,CASH_OUT,26
TX_28aedf4557,C_79ae1503,C_50b96aad,3251.53,CASH_OUT,78
